process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at
P001,Invoice Approval,Finance,Accounts Payable,P001-S01,1,Invoice Received,AP Clerk,Email / ERP,414,6,12.27,0.0316,12,18.35,High,Low,0.6188,0.5558,0.5709,2707.0,2026-01-01 00:00:00
P001,Invoice Approval,Finance,Accounts Payable,P001-S02,2,Data Validation,AP Analyst,Excel / ERP,414,16,28.05,0.0991,28,18.35,High,Medium,0.6047,0.6263,0.358,8121.0,2026-01-01 00:00:00
P001,Invoice Approval,Finance,Accounts Payable,P001-S03,3,Manager Approval,Finance Manager,Email / ERP,414,8,60.42,0.0264,23,18.35,Medium,Medium,0.3551,0.3973,0.3524,8121.0,2026-01-01 00:00:00
P001,Invoice Approval,Finance,Accounts Payable,P001-S04,4,Payment Scheduling,AP Analyst,ERP,414,11,9.64,0.0314,15,18.35,Medium,Low,0.3851,0.2889,0.3893,2707.0,2026-01-01 00:00:00
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S01,1,Request Intake,Buyer,Email / ERP,326,14,5.26,0.0576,30,30.87,High,Low,0.7518,0.6824,0.5109,2663.0,2026-01-01 00:00:00
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S02,2,Budget Check,Procurement Analyst,Excel / ERP,326,12,13.65,0.0705,24,30.87,High,Medium,0.7046,0.7154,0.5232,7989.0,2026-01-01 00:00:00
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S03,3,Supplier Review,Buyer,ERP / Supplier Portal,326,27,25.34,0.0781,31,30.87,Medium,Medium,0.5463,0.4638,0.3666,7989.0,2026-01-01 00:00:00
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S04,4,Approval Routing,Purchasing Manager,Email / ERP,326,19,91.44,0.0624,34,30.87,Medium,Medium,0.3407,0.3388,0.3175,7989.0,2026-01-01 00:00:00
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S01,1,Ticket Classification,Support Agent,CRM,1150,12,2.54,0.0824,6,17.22,High,Low,0.7323,0.5409,0.4638,3075.0,2026-01-01 00:00:00
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S02,2,Initial Response,Support Agent,CRM / Email,1150,9,2.66,0.1131,15,17.22,High,Low,0.6073,0.508,0.4446,3075.0,2026-01-01 00:00:00
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S03,3,Escalation Review,Support Lead,CRM,1150,24,12.0,0.037,27,17.22,Medium,Medium,0.3532,0.3748,0.3712,9225.0,2026-01-01 00:00:00
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S04,4,Case Closure,Support Agent,CRM,1150,9,3.53,0.0699,7,17.22,High,Low,0.6847,0.6868,0.4785,3075.0,2026-01-01 00:00:00
P004,Employee Onboarding,Human Resources,HR,P004-S01,1,Document Collection,HR Coordinator,Email / Forms,85,20,40.51,0.1107,22,26.39,High,Low,0.7389,0.7153,0.3959,2542.5,2026-01-01 00:00:00
P004,Employee Onboarding,Human Resources,HR,P004-S02,2,Employee Data Entry,HR Coordinator,HRIS,85,36,23.54,0.1833,30,26.39,High,Medium,0.6462,0.649,0.4904,7627.5,2026-01-01 00:00:00
P004,Employee Onboarding,Human Resources,HR,P004-S03,3,Access Request,IT Support,Ticketing System,85,18,79.34,0.0672,24,26.39,Medium,Medium,0.4701,0.2786,0.3712,7627.5,2026-01-01 00:00:00
P004,Employee Onboarding,Human Resources,HR,P004-S04,4,Policy Acknowledgment,HR Coordinator,HRIS / Forms,85,19,12.21,0.055,15,26.39,High,Low,0.6587,0.6134,0.6361,2542.5,2026-01-01 00:00:00
P005,Document Control Renewal,Compliance,Quality,P005-S01,1,Document Expiration Review,Document Controller,Excel / ERP,209,29,13.57,0.0837,20,38.43,High,Low,0.7676,0.5746,0.5417,2604.5,2026-01-01 00:00:00
P005,Document Control Renewal,Compliance,Quality,P005-S02,2,Owner Follow-up,Document Controller,Email,209,8,81.5,0.0642,13,38.43,Medium,Medium,0.4348,0.4447,0.2826,7813.5,2026-01-01 00:00:00
P005,Document Control Renewal,Compliance,Quality,P005-S03,3,Revision Validation,Quality Analyst,QMS,209,29,41.24,0.0593,56,38.43,Medium,Medium,0.5323,0.4697,0.3579,7813.5,2026-01-01 00:00:00
P005,Document Control Renewal,Compliance,Quality,P005-S04,4,Final Release,Quality Manager,QMS,209,17,70.68,0.0466,19,38.43,Low,High,0.2894,0.0671,0.1229,15627.0,2026-01-01 00:00:00
P006,Sales Order Entry,Sales Operations,Sales,P006-S01,1,Order Intake,Sales Coordinator,Email / CRM,381,15,6.23,0.0569,16,25.58,High,Low,0.7867,0.5413,0.5083,2690.5,2026-01-01 00:00:00
P006,Sales Order Entry,Sales Operations,Sales,P006-S02,2,Customer Data Check,Sales Coordinator,CRM / ERP,381,13,12.76,0.1018,18,25.58,High,Medium,0.7282,0.5997,0.5515,8071.5,2026-01-01 00:00:00
P006,Sales Order Entry,Sales Operations,Sales,P006-S03,3,Pricing Validation,Sales Analyst,Excel / ERP,381,29,17.2,0.0532,17,25.58,Medium,Medium,0.362,0.266,0.1553,8071.5,2026-01-01 00:00:00
P006,Sales Order Entry,Sales Operations,Sales,P006-S04,4,Order Confirmation,Sales Coordinator,CRM / Email,381,5,10.6,0.0228,12,25.58,High,Low,0.727,0.5147,0.3702,2690.5,2026-01-01 00:00:00
